Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.03.2023,23347.3981,13983.3981,6410.3981,16937.0,7573.0
02.03.2023,37509.7539,14753.7539,9988.7539,27521.0,4765.0
03.03.2023,33815.6367,14446.6367,7817.6367,25998.0,6629.0
04.03.2023,11977.8644,15816.8644,6132.8644,5845.0,9684.0
05.03.2023,29343.6019,17271.6019,9446.6019,19897.0,7825.0
06.03.2023,37612.7986,19054.7986,12234.7986,25378.0,6820.0
07.03.2023,30482.3261,14708.3261,7526.3261,22956.0,7182.0
08.03.2023,32488.2197,13458.2197,7408.2197,25080.0,6050.0
09.03.2023,14227.8161,14000.8161,4984.8161,9243.0,9016.0
10.03.2023,31023.0836,13074.0836,6050.0836,24973.0,7024.0
11.03.2023,26542.7272,13533.7272,7110.7272,19432.0,6423.0
12.03.2023,29563.5747,20855.5747,12361.5747,17202.0,8494.0
13.03.2023,24670.5103,16227.5103,8144.5103,16526.0,8083.0
14.03.2023,20003.1064,23030.1064,11424.1064,8579.0,11606.0
15.03.2023,15274.5586,14224.5586,6833.5586,8441.0,7391.0
16.03.2023,7402.3406,18072.3406,3923.3406,3479.0,14149.0
17.03.2023,12386.6056,20477.6056,6840.6056,5546.0,13637.0
18.03.2023,33103.1942,23498.1942,12800.1942,20303.0,10698.0
19.03.2023,27196.6581,15484.6581,8287.6581,18909.0,7197.0
20.03.2023,5349.2489,16169.2489,2963.2489,2386.0,13206.0
21.03.2023,9397.3331,21966.3331,4044.3331,5353.0,17922.0
22.03.2023,14248.3739,28001.3739,7331.3739,6917.0,20670.0
23.03.2023,25123.9678,29191.9678,14308.9678,10815.0,14883.0
24.03.2023,31128.16,21216.16,11253.16,19875.0,9963.0
25.03.2023,16092.5383,20342.5383,8620.5383,7472.0,11722.0
26.03.2023,24354.4347,20181.4347,7932.4347,16422.0,12249.0
27.03.2023,20731.5250,15872.5250,7132.5250,13599.0,8740.0
28.03.2023,18377.3011,22767.3011,7628.3011,10749.0,15139.0
29.03.2023,12764.7714,31540.7714,8976.7714,3788.0,22564.0
30.03.2023,15017.4072,34382.4072,11041.4072,3976.0,23341.0
31.03.2023,28122.9836,20741.9836,9142.9836,18980.0,11599.0
