Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.06.2024,13220.9136,25553.9136,12154.9136,1066.0,13399.0
02.06.2024,16850.8317,28975.8317,15772.8317,1078.0,13203.0
03.06.2024,10071.8239,27276.8239,9056.8239,1015.0,18220.0
04.06.2024,15789.3956,28687.3956,15552.3956,237.0,13135.0
05.06.2024,11153.9419,23482.9419,10001.9419,1152.0,13481.0
06.06.2024,4258.4344,17176.4344,4174.4344,84.0,13002.0
07.06.2024,11470.7792,22117.7792,10570.7792,900.0,11547.0
08.06.2024,11986.7858,27532.7858,10944.7858,1042.0,16588.0
09.06.2024,3054.0714,33270.0714,3033.0714,21.0,30237.0
10.06.2024,16054.7489,28685.7489,12445.7489,3609.0,16240.0
11.06.2024,16888.8967,27330.8967,10164.8967,6724.0,17166.0
12.06.2024,9552.9261,32544.9261,9511.9261,41.0,23033.0
13.06.2024,904.7089,28175.7089,898.7089,6.0,27277.0
14.06.2024,6059.0081,34841.0081,5785.0081,274.0,29056.0
15.06.2024,2778.9133,43174.9133,2777.9133,1.0,40397.0
16.06.2024,14072.6903,36552.6903,12307.6903,1765.0,24245.0
17.06.2024,4762.8603,34564.8603,4658.8603,104.0,29906.0
18.06.2024,7065.5319,37212.5319,6711.5319,354.0,30501.0
19.06.2024,6708.8989,43824.8989,6605.8989,103.0,37219.0
20.06.2024,3834.4225,38456.4225,3753.4225,81.0,34703.0
21.06.2024,16308.7153,42152.7153,15079.7153,1229.0,27073.0
22.06.2024,12270.2792,41303.2792,11405.2792,865.0,29898.0
23.06.2024,1977.2922,39245.2922,1977.2922,0.0,37268.0
24.06.2024,2086.885,37873.885,2086.885,0.0,35787.0
25.06.2024,4910.5347,32653.5347,4843.5347,67.0,27810.0
26.06.2024,2709.3278,35700.3278,2698.3278,11.0,33002.0
27.06.2024,16207.8914,43454.8914,14831.8914,1376.0,28623.0
28.06.2024,3007.695,24795.695,2976.695,31.0,21819.0
29.06.2024,11577.5164,20668.5164,11258.5164,319.0,9410.0
30.06.2024,8387.2772,31986.2772,7309.2772,1078.0,24677.0
